Date,Open,High,Low,Close,Adj Close,Volume
2023-11-01,168.300003,168.419998,165.080002,167.000000,167.000000,290827
2023-11-02,169.399994,174.080002,168.639999,171.179993,171.179993,539240
2023-11-03,172.820007,173.699997,168.500000,170.479996,170.479996,637877
2023-11-06,171.020004,173.320007,171.020004,172.000000,172.000000,353001
2023-11-07,171.259995,172.600006,169.399994,171.880005,171.880005,479414
2023-11-08,172.699997,174.119995,167.360001,169.619995,169.619995,924845
2023-11-09,168.720001,174.759995,167.279999,173.979996,173.979996,649812
2023-11-10,172.160004,172.660004,169.339996,170.899994,170.899994,538286
2023-11-13,171.240005,171.800003,168.460007,170.080002,170.080002,414170
2023-11-14,170.039993,179.500000,169.639999,179.020004,179.020004,972843
2023-11-15,180.000000,180.919998,177.259995,178.919998,178.919998,518244
2023-11-16,178.360001,179.580002,175.679993,176.559998,176.559998,447878
2023-11-17,176.600006,181.460007,176.559998,179.639999,179.639999,582988
2023-11-20,180.000000,183.779999,179.940002,181.699997,181.699997,460639
2023-11-21,183.080002,187.320007,183.080002,185.139999,185.139999,581169
2023-11-22,185.800003,187.399994,185.080002,187.360001,187.360001,449628
2023-11-23,186.720001,187.300003,185.000000,185.779999,185.779999,241488
2023-11-24,185.800003,185.979996,183.279999,184.440002,184.440002,300657
2023-11-27,184.580002,185.580002,183.539993,185.240005,185.240005,288531
2023-11-28,184.000000,186.820007,183.460007,186.660004,186.660004,334517
2023-11-29,187.940002,193.839996,187.619995,192.720001,192.720001,739654
2023-11-30,193.960007,194.660004,191.199997,192.139999,192.139999,681995
2023-12-01,192.399994,194.600006,191.940002,194.240005,194.240005,399386
2023-12-04,194.300003,196.119995,192.979996,194.639999,194.639999,374622
2023-12-05,194.399994,195.880005,193.380005,195.279999,195.279999,359290
2023-12-06,196.000000,198.339996,194.300003,197.000000,197.000000,355895
2023-12-07,196.000000,196.199997,188.440002,191.100006,191.100006,788365
2023-12-08,192.440002,194.839996,191.699997,193.360001,193.360001,572328
2023-12-11,193.440002,194.460007,192.759995,194.000000,194.000000,446246
2023-12-12,194.199997,196.039993,193.259995,193.460007,193.460007,352640
2023-12-13,194.419998,196.039993,193.639999,194.000000,194.000000,414848
2023-12-14,198.380005,198.800003,194.860001,197.399994,197.399994,785397
2023-12-15,197.979996,198.600006,190.720001,192.520004,192.520004,1287219
2023-12-18,191.100006,192.240005,189.779999,192.240005,192.240005,341040
2023-12-19,192.000000,193.399994,190.839996,193.399994,193.399994,396217
2023-12-20,194.399994,196.360001,191.759995,195.940002,195.940002,484778
2023-12-21,195.039993,197.100006,193.259995,194.419998,194.419998,386794
2023-12-22,183.000000,184.679993,181.679993,184.139999,184.139999,1035464
2023-12-27,185.419998,186.520004,184.820007,185.559998,185.559998,337533
2023-12-28,185.679993,185.919998,182.860001,184.100006,184.100006,323489
2023-12-29,184.820007,185.360001,184.160004,184.160004,184.160004,161239
2024-01-02,184.199997,186.600006,181.080002,182.220001,182.220001,376060
2024-01-03,181.000000,182.460007,178.039993,179.160004,179.160004,399469
2024-01-04,174.660004,174.960007,170.539993,173.759995,173.759995,866859
2024-01-05,173.080002,174.399994,169.679993,173.479996,173.479996,514414
2024-01-08,172.839996,176.800003,171.179993,176.740005,176.740005,498428
2024-01-09,177.259995,178.940002,176.059998,178.100006,178.100006,428916
2024-01-10,178.639999,180.080002,177.759995,179.380005,179.380005,429634
2024-01-11,181.000000,181.860001,177.119995,177.639999,177.639999,397507
2024-01-12,178.339996,180.460007,177.240005,177.539993,177.539993,307702
2024-01-15,177.220001,177.960007,174.539993,175.679993,175.679993,228934
2024-01-16,173.259995,173.559998,170.740005,172.000000,172.000000,407779
2024-01-17,168.500000,169.679993,164.119995,165.520004,165.520004,642715
2024-01-18,167.000000,167.500000,163.139999,164.960007,164.960007,595995
2024-01-19,166.800003,167.000000,164.240005,164.679993,164.679993,551303
2024-01-22,166.279999,167.479996,165.639999,166.639999,166.639999,615247
2024-01-23,168.300003,169.080002,166.059998,167.279999,167.279999,380020
2024-01-24,171.419998,171.559998,160.199997,166.139999,166.139999,1040530
2024-01-25,165.520004,177.500000,163.380005,175.679993,175.679993,1175573
2024-01-26,175.600006,178.039993,173.300003,177.860001,177.860001,728588
2024-01-29,176.339996,178.179993,175.279999,178.000000,178.000000,319750
